# TEMPLATE_NUM FILE                  REDSHIFT     NUM_POINTS LOG_LAMBDA                                                                                                                                                     LAMBDA                                                                                                                                                         SPEC                                                                                                                                                          
  10     spDR2-010.fit         -2.0347E-4   3831   "(3.5805, 3.5806, 3.5806999999999998, 3.5808, 3.5808999999999997, 3.581, 3.5810999999999997, 3.5812, 3.5812999999999997, 3.5814, 3.5814999999999997, 3.5816,..." "(3806.273576012056, 3807.150103801774, 3808.026833442709, 3808.9037649813513, 3809.780898464188, 3810.65823393773, 3811.5357714484862, 3812.4135110429906, ..." "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.518603317739238E-4, -0.0019916643655196915, 0.05490480553275367, 0.08132660165530489, -0.07509142..."
  11     spDR2-011.fit         9.3064E-5    3825   "(3.5812, 3.5813, 3.5814, 3.5815, 3.5816, 3.5817, 3.5818, 3.5819, 3.582, 3.5821, 3.5822, 3.5823, 3.5824, 3.5825, 3.5826, 3.5827, 3.5827999999999998, 3.5829,..." "(3812.4135110429906, 3813.2914527677754, 3814.169596669385, 3815.047942794385, 3815.926491189337, 3816.8052419008277, 3817.684194975441, 3818.563350459785,..." "(0.0, 0.0, 0.0, 0.0, -5.5956069774387654E-5, -4.697417042333123E-4, -0.0016023724754696154, -0.003793042408884738, -0.007353161036452804, -0.01255120701246..."
  12     spDR2-012.fit         -1.0E-6      3823   "(3.582, 3.5821, 3.5822, 3.5823, 3.5824, 3.5825, 3.5826, 3.5827, 3.5827999999999998, 3.5829, 3.5829999999999997, 3.5831, 3.5831999999999997, 3.5833, 3.58339..." "(3819.442708400464, 3820.322268844109, 3821.202031837345, 3822.0819974268243, 3822.9621656591935, 3823.8425365811263, 3824.7231102392916, 3825.6038866803838, " "(0.0, -0.0, -0.005697775142277432, -0.013866738331396915, 0.05478077058178648, -0.02770255190477735, 0.025246601087945898, -0.021530288920594342, 0.0609846..."
  13     spDR2-013.fit         -9.34E-5     3824   "(3.5811, 3.5812000000000004, 3.5813, 3.5814000000000004, 3.5815, 3.5816000000000003, 3.5817, 3.5818000000000003, 3.5819, 3.5820000000000003, 3.5821, 3.5822..." "(3811.5357714484903, 3812.4135110429943, 3813.2914527677754, 3814.1695966693887, 3815.047942794385, 3815.9264911893406, 3816.8052419008277, 3817.6841949754..." "(0.0, 0.0, 0.0, 0.0, -0.0, -0.0017091259464535704, -0.007100020033056232, -0.01652415223178549, -0.030263007876213104, -0.04851429990309901, -0.07137997710..."
  14     spDR2-014.fit         -6.3377E-5   3823   "(3.5824, 3.5825, 3.5826, 3.5827, 3.5827999999999998, 3.5829, 3.5829999999999997, 3.5831, 3.5831999999999997, 3.5833, 3.5833999999999997, 3.5835, 3.58359999..." "(3822.9621656591935, 3823.8425365811263, 3824.7231102392916, 3825.6038866803838, 3826.484865951093, 3827.366048098136, 3828.2474331682242, 3829.12902120809..." "(0.0, 0.0, 8.39935393525943E-4, 0.003364597301707452, 0.007561101432849706, 0.013389165737120911, 0.020780230966208235, 0.029638767869301502, 0.03984011949..."
  15     spDR2-015.fit         4.83E-5      3835   "(3.5811, 3.5812000000000004, 3.5813, 3.5814000000000004, 3.5815, 3.5816000000000003, 3.5817, 3.5818000000000003, 3.5819, 3.5820000000000003, 3.5821, 3.5822..." "(3811.5357714484903, 3812.4135110429943, 3813.2914527677754, 3814.1695966693887, 3815.047942794385, 3815.9264911893406, 3816.8052419008277, 3817.6841949754..." "(0.0, 0.0, 0.0, 0.0, -0.0, -0.021091728289356387, 0.020496166233898123, -0.002683071264162412, 0.23591655261202285, 0.013039830359865067, -0.37267678258670..."
  16     spDR2-016.fit         3.16E-4      3829   "(3.5808, 3.5809, 3.581, 3.5811, 3.5812, 3.5813, 3.5814, 3.5815, 3.5816, 3.5817, 3.5818, 3.5819, 3.582, 3.5821, 3.5822, 3.5823, 3.5824, 3.5825, 3.5826, 3.58..." "(3808.9037649813513, 3809.7808984641915, 3810.65823393773, 3811.5357714484903, 3812.4135110429906, 3813.2914527677754, 3814.169596669385, 3815.047942794385..." "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04513525634928741, 0.17255257823445086, 0.3696473794667659, 0.6233733589864648, 0.9195203562237636, 1.2437852857..."
  17     spDR2-017.fit         0.0          3830   "(3.5806, 3.5807, 3.5808, 3.5809, 3.581, 3.5811, 3.5812, 3.5813, 3.5814, 3.5815, 3.5816, 3.5817, 3.5818, 3.5819, 3.582, 3.5821, 3.5822, 3.5823, 3.5824, 3.58..." "(3807.150103801774, 3808.026833442713, 3808.9037649813513, 3809.7808984641915, 3810.65823393773, 3811.5357714484903, 3812.4135110429906, 3813.2914527677754..." "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.001751898730487818, 0.008285790571882043, 0.06410216577638662, 0.07723993207790815, -0.00695643884769..."
  18     spDR2-018.fit         8.5E-5       3829   "(3.5814, 3.5815, 3.5816, 3.5817, 3.5818, 3.5819, 3.582, 3.5821, 3.5822, 3.5823, 3.5824, 3.5825, 3.5826, 3.5827, 3.5827999999999998, 3.5829, 3.5829999999999..." "(3814.169596669385, 3815.047942794385, 3815.926491189337, 3816.8052419008277, 3817.684194975441, 3818.563350459785, 3819.442708400464, 3820.322268844109, 3..." "(0.0, 0.0, 9.808694742302448E-4, 0.003989411573385753, 0.00910509774388191, 0.016378870394619237, 0.02583433994697311, 0.03746139450260152, 0.0512096543352..."
  19     spDR2-019.fit         6.0E-5       3825   "(3.5817, 3.5818000000000003, 3.5819, 3.5820000000000003, 3.5821, 3.5822000000000003, 3.5823, 3.5824000000000003, 3.5825, 3.5826000000000002, 3.5827, 3.5828..." "(3816.8052419008277, 3817.684194975445, 3818.563350459785, 3819.4427084004683, 3820.322268844109, 3821.202031837349, 3822.0819974268243, 3822.9621656591976..." "(0.0, 0.0, 8.527573029635208E-4, -0.003152946966997184, 0.006009156638603376, -0.0024438885687062405, 0.06718374055845441, 0.04487849459876182, 0.078989408..."
  20     spDR2-020.fit         -5.0E-5      3825   "(3.5812, 3.5813, 3.5814, 3.5815, 3.5816, 3.5817, 3.5818, 3.5819, 3.582, 3.5821, 3.5822, 3.5823, 3.5824, 3.5825, 3.5826, 3.5827, 3.5827999999999998, 3.5829,..." "(3812.4135110429906, 3813.2914527677754, 3814.169596669385, 3815.047942794385, 3815.926491189337, 3816.8052419008277, 3817.684194975441, 3818.563350459785,..." "(0.0, 0.0, 0.0, 0.0, 0.007926559332565359, 0.030773356311209112, 0.06706106166819503, 0.11522159764126869, 0.1736590723623906, 0.24074893464970004, 0.31490..."
  21     spDR2-021.fit         -6.3377E-5   3815   "(3.5826, 3.5827, 3.5827999999999998, 3.5829, 3.5829999999999997, 3.5831, 3.5831999999999997, 3.5833, 3.5833999999999997, 3.5835, 3.5835999999999997, 3.5837..." "(3824.7231102392916, 3825.6038866803838, 3826.484865951093, 3827.366048098136, 3828.2474331682242, 3829.1290212080958, 3830.0108122644833, 3830.89280638414..." "(0.0, -0.0, -0.022744017370847466, -0.2616143864920198, 0.05652075142645993, 0.22266618794190354, -0.09983084105488177, -0.20248302534137155, -0.4510379040..."
  22     spDR2-022.fit         2.6685E-4    3830   "(3.581, 3.5811, 3.5812, 3.5813, 3.5814, 3.5815, 3.5816, 3.5817, 3.5818, 3.5819, 3.582, 3.5821, 3.5822, 3.5823, 3.5824, 3.5825, 3.5826, 3.5827, 3.5827999999..." "(3810.65823393773, 3811.5357714484903, 3812.4135110429906, 3813.2914527677754, 3814.169596669385, 3815.047942794385, 3815.926491189337, 3816.8052419008277,..." "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.006611262421135404, -0.052500754511149654, -0.08530106281670392, 0.07331774241921356, 0.009794018461853009, 0.05026370818..."
  23     spDR2-023.fit         -3.4E-5      4197   "(3.544068, 3.5441680000000004, 3.544268, 3.5443680000000004, 3.544468, 3.5445680000000004, 3.544668, 3.5447680000000004, 3.544868, 3.5449680000000003, 3.54..." "(3499.9996425790277, 3500.8056400696073, 3501.611823169332, 3502.4181919209527, 3503.2247463672143, 3504.0314865508867, 3504.838412514736, 3505.645524301551, " "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003912439637139462, 0.012778086786341628, 0.028382046735866046, 0.03523355118830571, 0.030511318395042425, 0.007..."
  24     spDR2-024.fit         -3.4E-5      4197   "(3.544068, 3.5441680000000004, 3.544268, 3.5443680000000004, 3.544468, 3.5445680000000004, 3.544668, 3.5447680000000004, 3.544868, 3.5449680000000003, 3.54..." "(3499.9996425790277, 3500.8056400696073, 3501.611823169332, 3502.4181919209527, 3503.2247463672143, 3504.0314865508867, 3504.838412514736, 3505.645524301551, " "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002072443925163234, 0.0059128712604424654, 0.01688169420909944, 0.021064616639055088, 0.012485210227255208, -0.0..."
  25     spDR2-025.fit         -3.4E-5      4197   "(3.544068, 3.5441680000000004, 3.544268, 3.5443680000000004, 3.544468, 3.5445680000000004, 3.544668, 3.5447680000000004, 3.544868, 3.5449680000000003, 3.54..." "(3499.9996425790277, 3500.8056400696073, 3501.611823169332, 3502.4181919209527, 3503.2247463672143, 3504.0314865508867, 3504.838412514736, 3505.645524301551, " "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.22011823330408E-4, 2.302900588956113E-4, 0.00750489020802208, 0.010328962365313166, 3.461115092611598E-5, -0.061..."
  26     spDR2-026.fit         -3.4E-5      4197   "(3.544068, 3.5441680000000004, 3.544268, 3.5443680000000004, 3.544468, 3.5445680000000004, 3.544668, 3.5447680000000004, 3.544868, 3.5449680000000003, 3.54..." "(3499.9996425790277, 3500.8056400696073, 3501.611823169332, 3502.4181919209527, 3503.2247463672143, 3504.0314865508867, 3504.838412514736, 3505.645524301551, " "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0011278618856932288, -0.005815329635659269, -0.0024290711223761753, -9.405155015691661E-4, -0.012947155033453324, "
