# TEMPLATE_NUM FILE                  REDSHIFT     NUM_POINTS LOG_LAMBDA                                                                                                                                                     LAMBDA                                                                                                                                                         SPEC                                                                                                                                                          
  44     spEigenGal-55740.fits 0.0          5800   "(3.3800999092102053, 3.380199909210205, 3.3802999092102053, 3.380399909210205, 3.3804999092102053, 3.380599909210205, 3.3806999092102052, 3.380799909210205..." "(2399.3848327138044, 2399.937375099971, 2400.4900447283753, 2401.042841628314, 2401.5957658291004, 2402.1488173600455, 2402.701996250477, 2403.255302529718..." "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,..."
  45     spEigenGal-55740.fits 0.0          5800   "(3.3800999092102053, 3.380199909210205, 3.3802999092102053, 3.380399909210205, 3.3804999092102053, 3.380599909210205, 3.3806999092102052, 3.380799909210205..." "(2399.3848327138044, 2399.937375099971, 2400.4900447283753, 2401.042841628314, 2401.5957658291004, 2402.1488173600455, 2402.701996250477, 2403.255302529718..." "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,..."
  46     spEigenGal-55740.fits 0.0          5800   "(3.3800999092102053, 3.380199909210205, 3.3802999092102053, 3.380399909210205, 3.3804999092102053, 3.380599909210205, 3.3806999092102052, 3.380799909210205..." "(2399.3848327138044, 2399.937375099971, 2400.4900447283753, 2401.042841628314, 2401.5957658291004, 2402.1488173600455, 2402.701996250477, 2403.255302529718..." "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,..."
  47     spEigenGal-55740.fits 0.0          5800   "(3.3800999092102053, 3.380199909210205, 3.3802999092102053, 3.380399909210205, 3.3804999092102053, 3.380599909210205, 3.3806999092102052, 3.380799909210205..." "(2399.3848327138044, 2399.937375099971, 2400.4900447283753, 2401.042841628314, 2401.5957658291004, 2402.1488173600455, 2402.701996250477, 2403.255302529718..." "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,..."
  48     spEigenGal-55740.fits 0.0          5800   "(3.3800999092102053, 3.380199909210205, 3.3802999092102053, 3.380399909210205, 3.3804999092102053, 3.380599909210205, 3.3806999092102052, 3.380799909210205..." "(2399.3848327138044, 2399.937375099971, 2400.4900447283753, 2401.042841628314, 2401.5957658291004, 2402.1488173600455, 2402.701996250477, 2403.255302529718..." "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,..."
  49     spEigenGal-55740.fits 0.0          5800   "(3.3800999092102053, 3.380199909210205, 3.3802999092102053, 3.380399909210205, 3.3804999092102053, 3.380599909210205, 3.3806999092102052, 3.380799909210205..." "(2399.3848327138044, 2399.937375099971, 2400.4900447283753, 2401.042841628314, 2401.5957658291004, 2402.1488173600455, 2402.701996250477, 2403.255302529718..." "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,..."
  50     psb_template0.fits    0.0          3856   "(3.575700044631958, 3.575800044631958, 3.575900044631958, 3.576000044631958, 3.576100044631958, 3.576200044631958, 3.576300044631958, 3.576400044631958, 3...." "(3764.4370976034243, 3765.303991078841, 3766.171084186836, 3767.03837697339, 3767.9058694844766, 3768.7735617660983, 3769.6414538642516, 3770.5095458249584..." "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,..."
  51     psb_template1.fits    0.0          4056   "(3.5524001121520996, 3.5525001121521, 3.5526001121520996, 3.5527001121521, 3.5528001121520996, 3.5529001121520998, 3.5530001121520995, 3.5531001121520998, ..." "(3567.7968042324683, 3568.6184143938312, 3569.4402137597035, 3570.2622023736635, 3571.084380279285, 3571.9067475201664, 3572.729304139901, 3573.55205018210..." "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,..."
  52     psb_template2.fits    0.0          4027   "(3.55049991607666, 3.5505999160766604, 3.55069991607666, 3.5507999160766603, 3.55089991607666, 3.5509999160766603, 3.55109991607666, 3.5511999160766603, 3...." "(3552.2204983897977, 3553.038521561245, 3553.856733111172, 3554.6751330829666, 3555.493721520012, 3556.312498465716, 3557.1314639634825, 3557.9506180567396..." "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,..."
  53     psb_template3.fits    0.0          4052   "(3.550600051879883, 3.550700051879883, 3.550800051879883, 3.550900051879883, 3.5510000518798828, 3.551100051879883, 3.5512000518798827, 3.551300051879883, ..." "(3553.0396325911483, 3553.8578443969323, 3554.6762446246357, 3555.494833317656, 3556.313610519387, 3557.1325762732463, 3557.951730622648, 3558.77107361103,..." "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,..."
  54     psb_template4.fits    0.0          3950   "(3.5383999347686768, 3.538499934768677, 3.5385999347686767, 3.538699934768677, 3.5387999347686767, 3.538899934768677, 3.5389999347686767, 3.539099934768677..." "(3454.6172301723313, 3455.4127767731247, 3456.2085065763804, 3457.004419624294, 3457.800515959056, 3458.5967956228833, 3459.393258657986, 3460.189905106599..." "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,..."
  55     psb_template5.fits    0.0          3952   "(3.5383999347686768, 3.538499934768677, 3.5385999347686767, 3.538699934768677, 3.5387999347686767, 3.538899934768677, 3.5389999347686767, 3.539099934768677..." "(3454.6172301723313, 3455.4127767731247, 3456.2085065763804, 3457.004419624294, 3457.800515959056, 3458.5967956228833, 3459.393258657986, 3460.189905106599..." "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,..."
  56     psb_template6.fits    0.0          3944   "(3.5388998985290527, 3.538999898529053, 3.5390998985290527, 3.539199898529053, 3.5392998985290527, 3.539399898529053, 3.5394998985290527, 3.539599898529053..." "(3458.5965070209136, 3459.3929699895593, 3460.1896163716924, 3460.986446209558, 3461.7834595453955, 3462.5806564214695, 3463.378036880039, 3464.17560096338..." "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,..."
  57     psb_template7.fits    0.0          4023   "(3.519200086593628, 3.519300086593628, 3.519400086593628, 3.519500086593628, 3.519600086593628, 3.519700086593628, 3.519800086593628, 3.519900086593628, 3...." "(3305.2178277244625, 3305.9789698807517, 3306.740287316675, 3307.5017800726037, 3308.263448188904, 3309.0252917059656, 3309.7873106641737, 3310.549505103937, " "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,..."
  58     psb_template8.fits    0.0          4023   "(3.519200086593628, 3.519300086593628, 3.519400086593628, 3.519500086593628, 3.519600086593628, 3.519700086593628, 3.519800086593628, 3.519900086593628, 3...." "(3305.2178277244625, 3305.9789698807517, 3306.740287316675, 3307.5017800726037, 3308.263448188904, 3309.0252917059656, 3309.7873106641737, 3310.549505103937, " "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,..."
  59     psb_template9.fits    0.0          4357   "(3.4665000438690186, 3.4666000438690188, 3.4667000438690185, 3.4668000438690187, 3.4669000438690185, 3.4670000438690187, 3.4671000438690185, 3.467200043869..." "(2927.521167084629, 2928.1953313575573, 2928.8696508804164, 2929.5441256889635, 2930.2187558189535, 2930.8935413061595, 2931.568482186353, 2932.24357849532..." "(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,..."
